,id,firstname,surname,born_country_code,died_country_code,gender,year_recieved,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
21,22,Charles Glover,Barkla,GB,GB,male,1917,physics,1,Edinburgh University,Edinburgh,United Kingdom,Jun,67,40
22,23,Max,Planck,DE,DE,male,1918,physics,1,Berlin University,Berlin,Germany,Apr,89,60
23,24,Johannes,Stark,DE,DE,male,1919,physics,1,Greifswald University,Greifswald,Germany,Apr,83,45
24,25,Charles Edouard,Guillaume,CH,FR,male,1920,physics,1,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,Feb,77,59
25,26,Albert,Einstein,DE,US,male,1921,physics,1,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,Mar,76,42
26,27,Niels,Bohr,DK,DK,male,1922,physics,1,Copenhagen University,Copenhagen,Denmark,Oct,77,37
27,28,Robert A.,Millikan,US,US,male,1923,physics,1,California Institute of Technology (Caltech),Pasadena CA,USA,Mar,85,55
28,29,Manne,Siegbahn,SE,SE,male,1924,physics,1,Uppsala University,Uppsala,Sweden,Dec,92,38
29,30,James,Franck,DE,DE,male,1925,physics,2,Goettingen University,Göttingen,Germany,Aug,82,43
30,31,Gustav,Hertz,DE,DE,male,1925,physics,2,Halle University,Halle,Germany,Jul,88,38
31,32,Jean Baptiste,Perrin,FR,US,male,1926,physics,1,Sorbonne University,Paris,France,Sep,72,56
32,33,Arthur H.,Compton,US,US,male,1927,physics,2,University of Chicago,Chicago IL,USA,Sep,70,35
33,34,C.T.R.,Wilson,GB,GB,male,1927,physics,2,University of Cambridge,Cambridge,United Kingdom,Feb,90,58
34,35,Owen Willans,Richardson,GB,GB,male,1928,physics,1,London University,London,United Kingdom,Apr,80,49
35,36,Louis,de Broglie,FR,FR,male,1929,physics,1,Sorbonne University Institut Henri Poincaré,Paris,France,Aug,95,37
36,37,Sir Chandrasekhara Venkata,Raman,IN,IN,male,1930,physics,1,Calcutta University,Calcutta,India,Nov,82,42
37,38,Werner,Heisenberg,DE,DE,male,1932,physics,1,Leipzig University,Leipzig,Germany,Dec,75,31
38,39,Erwin,Schrödinger,AT,AT,male,1933,physics,2,Berlin University,Berlin,Germany,Aug,74,46
39,40,Paul A.M.,Dirac,GB,US,male,1933,physics,2,University of Cambridge,Cambridge,United Kingdom,Aug,82,31
40,41,James,Chadwick,GB,GB,male,1935,physics,1,Liverpool University,Liverpool,United Kingdom,Oct,83,44
41,42,Victor F.,Hess,AT,US,male,1936,physics,2,Innsbruck University,Innsbruck,Austria,Jun,81,53
42,43,Carl D.,Anderson,US,US,male,1936,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,86,31
43,44,Clinton,Davisson,US,US,male,1937,physics,2,Bell Telephone Laboratories,New York NY,USA,Oct,77,56
44,45,George Paget,Thomson,GB,GB,male,1937,physics,2,London University,London,United Kingdom,May,83,45
45,46,Enrico,Fermi,IT,US,male,1938,physics,1,Rome University,Rome,Italy,Sep,53,37
46,47,Ernest,Lawrence,US,US,male,1939,physics,1,University of California,Berkeley CA,USA,Aug,57,38
47,48,Otto,Stern,PL,US,male,1943,physics,1,Carnegie Institute of Technology,Pittsburgh PA,USA,Feb,81,55
48,49,Isidor Isaac,Rabi,PL,US,male,1944,physics,1,Columbia University,New York NY,USA,Jul,90,46
49,50,Wolfgang,Pauli,AT,CH,male,1945,physics,1,Princeton University,Princeton NJ,USA,Apr,58,45
50,51,Percy W.,Bridgman,US,US,male,1946,physics,1,Harvard University,Cambridge MA,USA,Apr,79,64
51,52,Edward V.,Appleton,GB,GB,male,1947,physics,1,Department of Scientific and Industrial Research,London,United Kingdom,Sep,73,55
52,53,Patrick M.S.,Blackett,GB,GB,male,1948,physics,1,Victoria University,Manchester,United Kingdom,Nov,77,51
53,54,Hideki,Yukawa,JP,JP,male,1949,physics,1,Kyoto Imperial University,Kyoto,Japan,Jan,74,42
54,55,Cecil,Powell,GB,IT,male,1950,physics,1,Bristol University,Bristol,United Kingdom,Dec,66,47
55,56,John,Cockcroft,GB,GB,male,1951,physics,2,Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom,May,70,54
56,57,Ernest T.S.,Walton,IE,GB,male,1951,physics,2,Trinity College,Dublin,Ireland,Oct,92,48
57,58,Felix,Bloch,CH,CH,male,1952,physics,2,Stanford University,Stanford CA,USA,Oct,78,47
58,59,E. M.,Purcell,US,US,male,1952,physics,2,Harvard University,Cambridge MA,USA,Aug,85,40
59,60,Frits,Zernike,NL,NL,male,1953,physics,1,Groningen University,Groningen,the Netherlands,Jul,78,65
60,61,Max,Born,PL,DE,male,1954,physics,2,Edinburgh University,Edinburgh,United Kingdom,Dec,88,72
61,62,Walther,Bothe,DE,DE,male,1954,physics,2,University of Heidelberg,Heidelberg,Germany,Jan,66,63
62,63,Willis E.,Lamb,US,US,male,1955,physics,2,Stanford University,Stanford CA,USA,Jul,95,42
63,64,Polykarp,Kusch,DE,US,male,1955,physics,2,Columbia University,New York NY,USA,Jan,82,44
64,65,William B.,Shockley,GB,US,male,1956,physics,3,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA,Feb,79,46
65,66,John,Bardeen,US,US,male,1956,physics,3,University of Illinois,Urbana IL,USA,May,83,48
66,67,John,Bardeen,US,US,male,1972,physics,3,University of Illinois,Urbana IL,USA,May,83,64
67,68,Walter H.,Brattain,CN,US,male,1956,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Feb,85,54
68,69,Chen Ning,Yang,CN,Not Available,male,1957,physics,2,Institute for Advanced Study,Princeton NJ,USA,Sep,98,35
69,70,Tsung-Dao,Lee,CN,Not Available,male,1957,physics,2,Columbia University,New York NY,USA,Nov,94,31
70,71,Pavel A.,Cherenkov,RU,RU,male,1958,physics,3,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Jul,86,54
71,72,Igor Y.,Tamm,RU,RU,male,1958,physics,3,Lomonosov Moscow State University,Moscow,USSR (now Russia),Jul,76,63
72,73,Emilio,Segrè,IT,US,male,1959,physics,2,University of California,Berkeley CA,USA,Feb,84,54
73,74,Owen,Chamberlain,US,US,male,1959,physics,2,University of California,Berkeley CA,USA,Jul,86,39
74,75,Donald A.,Glaser,US,US,male,1960,physics,1,University of California,Berkeley CA,USA,Sep,87,34
75,76,Robert,Hofstadter,US,US,male,1961,physics,2,Stanford University,Stanford CA,USA,Feb,75,46
76,77,Rudolf,Mössbauer,DE,Not Available,male,1961,physics,2,Technical University,Munich,Germany,Jan,82,32
77,78,Lev,Landau,AZ,RU,male,1962,physics,1,Academy of Sciences,Moscow,USSR (now Russia),Jan,60,54
78,79,Eugene,Wigner,HU,US,male,1963,physics,2,Princeton University,Princeton NJ,USA,Nov,93,61
79,80,Maria,Goeppert Mayer,PL,US,female,1963,physics,4,University of California,San Diego CA,USA,Jun,66,57
80,81,J. Hans D.,Jensen,DE,DE,male,1963,physics,4,University of Heidelberg,Heidelberg,Germany,Jun,66,56
81,82,Charles H.,Townes,US,US,male,1964,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jul,100,49
82,83,Nicolay G.,Basov,RU,RU,male,1964,physics,4,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Dec,79,42
83,84,Aleksandr M.,Prokhorov,AU,RU,male,1964,physics,4,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Jul,86,48
84,85,Sin-Itiro,Tomonaga,JP,JP,male,1965,physics,3,Tokyo University of Education,Tokyo,Japan,Mar,73,59
85,86,Julian,Schwinger,US,US,male,1965,physics,3,Harvard University,Cambridge MA,USA,Feb,76,47
86,87,Richard P.,Feynman,US,US,male,1965,physics,3,California Institute of Technology (Caltech),Pasadena CA,USA,May,70,47
87,88,Alfred,Kastler,FR,FR,male,1966,physics,1,École Normale Supérieure,Paris,France,May,82,64
88,89,Hans,Bethe,FR,US,male,1967,physics,1,Cornell University,Ithaca NY,USA,Jul,99,61
89,90,Luis,Alvarez,US,US,male,1968,physics,1,University of California,Berkeley CA,USA,Jun,77,57
90,91,Murray,Gell-Mann,US,US,male,1969,physics,1,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,90,40
91,92,Hannes,Alfvén,SE,SE,male,1970,physics,2,Royal Institute of Technology,Stockholm,Sweden,May,87,62
92,93,Louis,Néel,FR,FR,male,1970,physics,2,University of Grenoble,Grenoble,France,Nov,96,66
93,94,Dennis,Gabor,HU,GB,male,1971,physics,1,Imperial College,London,United Kingdom,Jun,79,71
94,95,Leon N.,Cooper,US,Not Available,male,1972,physics,3,Brown University,Providence RI,USA,Feb,90,42
95,96,Robert,Schrieffer,US,US,male,1972,physics,3,University of Pennsylvania,Philadelphia PA,USA,May,88,41
96,97,Leo,Esaki,JP,Not Available,male,1973,physics,4,IBM Thomas J. Watson Research Center,Yorktown Heights NY,USA,Mar,95,48
97,98,Ivar,Giaever,NO,Not Available,male,1973,physics,4,General Electric Company,Schenectady NY,USA,Apr,91,44
98,99,Brian D.,Josephson,GB,Not Available,male,1973,physics,2,University of Cambridge,Cambridge,United Kingdom,Jan,80,33
99,100,Martin,Ryle,GB,GB,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,Sep,66,56
100,101,Antony,Hewish,GB,Not Available,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,May,96,50
101,102,Aage N.,Bohr,DK,DK,male,1975,physics,3,Niels Bohr Institute,Copenhagen,Denmark,Jun,87,53
102,103,Ben R.,Mottelson,US,Not Available,male,1975,physics,3,Nordita,Copenhagen,Denmark,Jul,94,49
103,104,James,Rainwater,US,US,male,1975,physics,3,Columbia University,New York NY,USA,Dec,69,58
104,105,Burton,Richter,US,US,male,1976,physics,2,Stanford Linear Accelerator Center,Stanford CA,USA,Mar,87,45
105,106,Samuel C.C.,Ting,US,Not Available,male,1976,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,84,40
106,107,Philip W.,Anderson,US,US,male,1977,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Dec,97,54
107,108,Sir Nevill F.,Mott,GB,GB,male,1977,physics,3,University of Cambridge,Cambridge,United Kingdom,Sep,91,72
108,109,John H.,van Vleck,US,US,male,1977,physics,3,Harvard University,Cambridge MA,USA,Mar,81,78
109,110,Pyotr,Kapitsa,RU,RU,male,1978,physics,2,Academy of Sciences,Moscow,USSR (now Russia),Jul,90,84
110,111,Arno,Penzias,DE,Not Available,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Apr,87,45
111,112,Robert Woodrow,Wilson,US,Not Available,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Jan,84,42
112,113,Sheldon,Glashow,US,Not Available,male,1979,physics,3,Harvard University Lyman Laboratory,Cambridge MA,USA,Dec,88,47
113,114,Abdus,Salam,PK,GB,male,1979,physics,3,International Centre for Theoretical Physics,Trieste,Italy,Jan,70,53
114,115,Steven,Weinberg,US,Not Available,male,1979,physics,3,Harvard University,Cambridge MA,USA,May,87,46
115,116,James,Cronin,US,US,male,1980,physics,2,University of Chicago,Chicago IL,USA,Sep,85,49
116,117,Val,Fitch,US,US,male,1980,physics,2,Princeton University,Princeton NJ,USA,Mar,92,57
117,118,Nicolaas,Bloembergen,NL,US,male,1981,physics,4,Harvard University,Cambridge MA,USA,Mar,97,61
118,119,Arthur L.,Schawlow,US,US,male,1981,physics,4,Stanford University,Stanford CA,USA,May,78,60
119,120,Kai M.,Siegbahn,SE,SE,male,1981,physics,2,Uppsala University,Uppsala,Sweden,Apr,89,63
120,121,Kenneth G.,Wilson,US,US,male,1982,physics,1,Cornell University,Ithaca NY,USA,Jun,77,46
121,122,Subramanyan,Chandrasekhar,PK,US,male,1983,physics,2,University of Chicago,Chicago IL,USA,Oct,85,73
122,123,William A.,Fowler,US,US,male,1983,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,84,72
123,124,Carlo,Rubbia,IT,Not Available,male,1984,physics,2,CERN,Geneva,Switzerland,Mar,86,50
124,125,Simon,van der Meer,NL,CH,male,1984,physics,2,CERN,Geneva,Switzerland,Nov,86,59
125,126,Klaus,von Klitzing,PL,Not Available,male,1985,physics,1,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,Jun,77,42
126,127,Ernst,Ruska,DE,DE,male,1986,physics,2,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Dec,82,80
127,128,Gerd,Binnig,DE,Not Available,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jul,73,39
128,129,Heinrich,Rohrer,CH,CH,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jun,80,53
129,130,J. Georg,Bednorz,DE,Not Available,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,May,70,37
130,131,K. Alex,Müller,CH,Not Available,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Apr,93,60
131,132,Leon M.,Lederman,US,US,male,1988,physics,3,Fermi National Accelerator Laboratory,Batavia IL,USA,Jul,96,66
132,133,Melvin,Schwartz,US,US,male,1988,physics,3,Digital Pathways Inc.,Mountain View CA,USA,Nov,74,56
133,134,Jack,Steinberger,DE,Not Available,male,1988,physics,3,CERN,Geneva,Switzerland,May,99,67
134,135,Norman F.,Ramsey,US,US,male,1989,physics,2,Harvard University,Cambridge MA,USA,Aug,96,74
135,136,Hans G.,Dehmelt,DE,US,male,1989,physics,4,University of Washington,Seattle WA,USA,Sep,95,67
136,137,Wolfgang,Paul,DE,DE,male,1989,physics,4,University of Bonn,Bonn,Germany,Aug,80,76
137,138,Jerome I.,Friedman,US,Not Available,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,90,60
138,139,Henry W.,Kendall,US,US,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Dec,73,64
139,140,Richard E.,Taylor,CA,US,male,1990,physics,3,Stanford University,Stanford CA,USA,Nov,89,61
140,141,Pierre-Gilles,de Gennes,FR,FR,male,1991,physics,1,Collège de France,Paris,France,Oct,75,59
141,142,Georges,Charpak,PL,FR,male,1992,physics,1,École Supérieure de Physique et Chimie,Paris,France,Aug,86,68
142,143,Russell A.,Hulse,US,Not Available,male,1993,physics,2,Princeton University,Princeton NJ,USA,Nov,70,43
143,144,Joseph H.,Taylor Jr.,US,Not Available,male,1993,physics,2,Princeton University,Princeton NJ,USA,Mar,79,52
144,145,Bertram N.,Brockhouse,CA,CA,male,1994,physics,2,McMaster University,Hamilton Ontario,Canada,Jul,85,76
145,146,Clifford G.,Shull,US,US,male,1994,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Sep,86,79
146,147,Martin L.,Perl,US,US,male,1995,physics,2,Stanford University,Stanford CA,USA,Jun,87,68
147,148,Frederick,Reines,US,US,male,1995,physics,2,University of California,Irvine CA,USA,Mar,80,77
148,149,David M.,Lee,US,Not Available,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jan,89,65
149,150,Douglas D.,Osheroff,US,Not Available,male,1996,physics,3,Stanford University,Stanford CA,USA,Aug,75,51
150,151,Robert C.,Richardson,US,US,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jun,76,59
151,152,Steven,Chu,US,Not Available,male,1997,physics,3,Stanford University,Stanford CA,USA,Feb,72,49
152,153,Claude,Cohen-Tannoudji,DZ,Not Available,male,1997,physics,3,Collège de France,Paris,France,Apr,87,64
153,154,William D.,Phillips,US,Not Available,male,1997,physics,3,National Institute of Standards and Technology,Gaithersburg MD,USA,Nov,72,49
154,155,Robert B.,Laughlin,US,Not Available,male,1998,physics,3,Stanford University,Stanford CA,USA,Nov,70,48
155,156,Horst L.,Störmer,DE,Not Available,male,1998,physics,3,Columbia University,New York NY,USA,Apr,71,49
156,157,Daniel C.,Tsui,CN,Not Available,male,1998,physics,3,Princeton University,Princeton NJ,USA,Feb,81,59
157,158,Gerardus,'t Hooft,NL,Not Available,male,1999,physics,2,Utrecht University,Utrecht,the Netherlands,Jul,74,53
158,159,Martinus J.G.,Veltman,NL,Not Available,male,1999,physics,2,Not Available,Not Available,Not Available,Jun,89,68
159,160,Jacobus H.,van 't Hoff,NL,DE,male,1901,chemistry,1,Berlin University,Berlin,Germany,Aug,59,49
160,161,Emil,Fischer,DE,DE,male,1902,chemistry,1,Berlin University,Berlin,Germany,Oct,67,50
161,162,Svante,Arrhenius,SE,SE,male,1903,chemistry,1,Stockholm University,Stockholm,Sweden,Feb,68,44
162,163,Sir William,Ramsay,GB,GB,male,1904,chemistry,1,University College,London,United Kingdom,Oct,64,52
163,164,Adolf,von Baeyer,DE,DE,male,1905,chemistry,1,Munich University,Munich,Germany,Oct,82,70
164,165,Henri,Moissan,FR,FR,male,1906,chemistry,1,Sorbonne University,Paris,France,Sep,55,54
165,166,Eduard,Buchner,DE,RO,male,1907,chemistry,1,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,May,57,47
166,167,Ernest,Rutherford,NZ,GB,male,1908,chemistry,1,Victoria University,Manchester,United Kingdom,Aug,66,37
167,168,Wilhelm,Ostwald,LV,DE,male,1909,chemistry,1,Leipzig University,Leipzig,Germany,Sep,79,56
168,169,Otto,Wallach,RU,DE,male,1910,chemistry,1,Goettingen University,Göttingen,Germany,Mar,84,63
169,170,Victor,Grignard,FR,FR,male,1912,chemistry,2,Nancy University,Nancy,France,May,64,41
170,171,Paul,Sabatier,FR,FR,male,1912,chemistry,2,Toulouse University,Toulouse,France,Nov,87,58
171,172,Alfred,Werner,FR,CH,male,1913,chemistry,1,University of Zurich,Zurich,Switzerland,Dec,53,47
172,173,Theodore W.,Richards,US,US,male,1914,chemistry,1,Harvard University,Cambridge MA,USA,Jan,60,46
173,174,Richard,Willstätter,DE,CH,male,1915,chemistry,1,Munich University,Munich,Germany,Aug,70,43
174,175,Fritz,Haber,PL,CH,male,1918,chemistry,1,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,Dec,66,50
175,176,Walther,Nernst,DE,DE,male,1920,chemistry,1,Berlin University,Berlin,Germany,Jun,77,56
176,177,Frederick,Soddy,GB,GB,male,1921,chemistry,1,University of Oxford,Oxford,United Kingdom,Sep,79,44
177,178,Francis W.,Aston,GB,GB,male,1922,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Sep,68,45
178,179,Fritz,Pregl,SI,AT,male,1923,chemistry,1,Graz University,Graz,Austria,Sep,61,54
179,180,Richard,Zsigmondy,AT,DE,male,1925,chemistry,1,Goettingen University,Göttingen,Germany,Apr,64,60
180,181,The,Svedberg,SE,SE,male,1926,chemistry,1,Uppsala University,Uppsala,Sweden,Aug,87,42
181,182,Heinrich,Wieland,DE,DE,male,1927,chemistry,1,Munich University,Munich,Germany,Jun,80,50
182,183,Adolf,Windaus,DE,DE,male,1928,chemistry,1,Goettingen University,Göttingen,Germany,Dec,83,52
183,184,Arthur,Harden,GB,GB,male,1929,chemistry,2,London University,London,United Kingdom,Oct,75,64
184,185,Hans,von Euler-Chelpin,DE,SE,male,1929,chemistry,2,Stockholm University,Stockholm,Sweden,Feb,91,56
185,186,Hans,Fischer,DE,DE,male,1930,chemistry,1,Technische Hochschule (Institute of Technology),Munich,Germany,Jul,64,49
186,187,Carl,Bosch,DE,DE,male,1931,chemistry,2,University of Heidelberg,Heidelberg,Germany,Aug,66,57
187,188,Friedrich,Bergius,PL,AR,male,1931,chemistry,2,University of Heidelberg,Heidelberg,Germany,Oct,65,47
188,189,Irving,Langmuir,US,US,male,1932,chemistry,1,General Electric Company,Schenectady NY,USA,Jan,76,51
189,190,Harold C.,Urey,US,US,male,1934,chemistry,1,Columbia University,New York NY,USA,Apr,88,41
190,191,Frédéric,Joliot,FR,FR,male,1935,chemistry,2,Institut du Radium,Paris,France,Mar,58,35
191,192,Irène,Joliot-Curie,FR,FR,female,1935,chemistry,2,Institut du Radium,Paris,France,Sep,59,38
192,193,Peter,Debye,NL,US,male,1936,chemistry,1,Berlin University,Berlin,Germany,Mar,82,52
193,194,Norman,Haworth,GB,GB,male,1937,chemistry,2,Birmingham University,Birmingham,United Kingdom,Mar,67,54
194,195,Paul,Karrer,RU,CH,male,1937,chemistry,2,University of Zurich,Zurich,Switzerland,Apr,82,48
195,196,Richard,Kuhn,AT,DE,male,1938,chemistry,1,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,Dec,67,38
196,197,Adolf,Butenandt,DE,DE,male,1939,chemistry,2,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,Mar,92,36
197,198,Leopold,Ruzicka,HR,CH,male,1939,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Sep,89,52
198,199,George,de Hevesy,HU,DE,male,1943,chemistry,1,Stockholm University,Stockholm,Sweden,Aug,81,58
199,200,Otto,Hahn,DE,DE,male,1944,chemistry,1,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,Mar,89,65
200,201,Artturi,Virtanen,FI,FI,male,1945,chemistry,1,University of Helsinki,Helsinki,Finland,Jan,78,50
201,202,James B.,Sumner,US,US,male,1946,chemistry,2,Cornell University,Ithaca NY,USA,Nov,68,59
202,203,John H.,Northrop,US,US,male,1946,chemistry,4,Rockefeller Institute for Medical Research,Princeton NJ,USA,Jul,96,55
203,204,Wendell M.,Stanley,US,ES,male,1946,chemistry,4,Rockefeller Institute for Medical Research,Princeton NJ,USA,Aug,67,42
204,205,Sir Robert,Robinson,GB,GB,male,1947,chemistry,1,University of Oxford,Oxford,United Kingdom,Sep,89,61
205,206,Arne,Tiselius,SE,SE,male,1948,chemistry,1,Uppsala University,Uppsala,Sweden,Aug,69,46
206,207,William F.,Giauque,CA,US,male,1949,chemistry,1,University of California,Berkeley CA,USA,May,87,54
207,208,Otto,Diels,DE,DE,male,1950,chemistry,2,Kiel University,Kiel,Germany,Jan,78,74
208,209,Kurt,Alder,PL,DE,male,1950,chemistry,2,Cologne University,Cologne,Germany,Jul,56,48
209,210,Edwin M.,McMillan,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Sep,84,44
210,211,Glenn T.,Seaborg,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Apr,87,39
211,212,Archer J.P.,Martin,GB,GB,male,1952,chemistry,2,National Institute for Medical Research,London,United Kingdom,Mar,92,42
212,213,Richard L.M.,Synge,GB,GB,male,1952,chemistry,2,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,Oct,80,38
213,214,Hermann,Staudinger,DE,DE,male,1953,chemistry,1,University of Freiburg,Breisgau,Germany,Mar,84,72
214,215,Linus,Pauling,US,US,male,1962,peace,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,61
215,216,Linus,Pauling,US,US,male,1954,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,53
216,217,Vincent,du Vigneaud,US,US,male,1955,chemistry,1,Cornell University,Ithaca NY,USA,May,77,54
217,218,Sir Cyril,Hinshelwood,GB,GB,male,1956,chemistry,2,University of Oxford,Oxford,United Kingdom,May,70,59
218,219,Nikolay,Semenov,RU,RU,male,1956,chemistry,2,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR (now Russia),Apr,90,60
219,220,Lord,Todd,GB,GB,male,1957,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Oct,90,50
220,221,Frederick,Sanger,GB,GB,male,1958,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Aug,95,40
221,222,Frederick,Sanger,GB,GB,male,1980,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,95,62
222,223,Jaroslav,Heyrovsky,CZ,CZ,male,1959,chemistry,1,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia (now Czech Republic),Dec,77,69
223,224,Willard F.,Libby,US,US,male,1960,chemistry,1,University of California,Los Angeles CA,USA,Dec,72,52
224,225,Melvin,Calvin,US,US,male,1961,chemistry,1,University of California,Berkeley CA,USA,Apr,86,50
225,226,Max F.,Perutz,AT,GB,male,1962,chemistry,2,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,May,88,48
226,227,John C.,Kendrew,GB,GB,male,1962,chemistry,2,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Mar,80,45
227,228,Karl,Ziegler,DE,DE,male,1963,chemistry,2,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Germany,Nov,75,65
228,229,Giulio,Natta,IT,IT,male,1963,chemistry,2,Institute of Technology,Milan,Italy,Feb,76,60
229,230,Dorothy Crowfoot,Hodgkin,EG,GB,female,1964,chemistry,1,University of Oxford Royal Society,Oxford,United Kingdom,May,84,54
230,231,Robert B.,Woodward,US,US,male,1965,chemistry,1,Harvard University,Cambridge MA,USA,Apr,62,48
231,232,Robert S.,Mulliken,US,US,male,1966,chemistry,1,University of Chicago,Chicago IL,USA,Jun,90,70
